Area,Mean,Min,Max,Angle,Length,Inverse,Average Inverse,Alpha Thickness
0.086,224.528,1,255,180,1.707,0.585823081,,
0.043,202.389,7,255,180,0.829,1.206272618,,
0.036,239.8,150,255,180,0.683,1.464128843,,
0.267,252.696,126,255,180,5.415,0.184672207,,
0.033,154.5,4,224,180,0.634,1.577287066,,
0.074,242.097,40,255,180,1.463,0.683526999,,
0.043,229.222,17,255,180,0.829,1.206272618,,
0.014,33.167,0,74,180,0.244,4.098360656,,
0.019,109.5,24,227,0,0.341,2.93255132,,
0.259,252.193,151,255,180,5.268,0.189825361,,
0.064,230.815,24,255,0,1.268,0.788643533,,
0.114,254.479,235,255,180,2.293,0.4361099,,
0.412,250.861,172,255,180,8.39,0.119189511,,
0.024,186.9,1,255,180,0.439,2.277904328,,
0.064,239.148,78,255,180,1.268,0.788643533,,
0.086,204.389,22,255,180,1.707,0.585823081,,
0.064,219.963,9,255,180,1.268,0.788643533,,
0.093,245.821,44,255,180,1.854,0.539374326,,
0.079,222.333,12,255,180,1.561,0.64061499,,
0.105,236.455,23,255,180,2.098,0.476644423,,
0.102,248.372,63,255,180,2.049,0.488042948,,
0.062,230.577,21,255,180,1.22,0.819672131,,
0.043,244.778,151,255,180,0.829,1.206272618,,
0.019,222,117,255,180,0.341,2.93255132,,
0.093,249.385,91,255,180,1.854,0.539374326,,
0.105,247.659,74,255,180,2.098,0.476644423,,
0.128,240.278,4,255,180,2.585,0.386847195,,
0.086,250.278,160,255,180,1.707,0.585823081,,
0.064,244.148,121,255,180,1.268,0.788643533,,
0.157,253.167,153,255,180,3.171,0.315357931,,
0.04,242.353,96,255,180,0.78,1.282051282,,
0.071,224.833,1,255,180,1.415,0.706713781,,
0.064,229.778,6,255,180,1.268,0.788643533,,
0.083,241,12,255,180,1.659,0.602772755,,
0.059,245.2,80,255,180,1.171,0.853970965,,
0.017,139,15,231,180,0.293,3.412969283,,
0.069,247.931,128,255,180,1.366,0.732064422,,
0.043,239.667,112,255,180,0.829,1.206272618,,
0.243,251,93,255,180,4.927,0.202963264,,
0.074,227.065,70,255,180,1.463,0.683526999,,
0.259,249.257,83,255,180,5.268,0.189825361,,
0.136,240.158,4,255,180,2.732,0.366032211,,
0.074,249.613,187,255,180,1.463,0.683526999,,
0.038,184.312,12,255,180,0.732,1.366120219,,
0.145,251.23,133,255,180,2.927,0.341646737,,
0.076,248.719,175,255,180,1.512,0.661375661,,
0.031,205.923,39,255,180,0.585,1.709401709,,
0.045,227.526,115,255,180,0.878,1.138952164,,
0.033,219,69,255,180,0.634,1.577287066,,
0.286,248.925,68,255,180,5.805,0.172265289,,
0.062,177.423,68,242,180,1.22,0.819672131,,
0.083,234.943,4,255,180,1.659,0.602772755,,
0.026,206.727,37,255,180,0.488,2.049180328,,
0.109,239.891,2,255,180,2.195,0.455580866,,
0.069,253.069,221,255,180,1.366,0.732064422,,
0.024,120.8,42,190,180,0.439,2.277904328,,
0.202,236.624,87,255,0,4.098,0.244021474,,
0.176,243.757,18,255,0,3.561,0.280819994,,
0.086,227.306,96,255,0,1.707,0.585823081,,
0.109,254.5,237,255,0,2.195,0.455580866,,
0.128,245.204,48,255,180,2.585,0.386847195,,
0.086,241.694,114,255,180,1.707,0.585823081,,
0.045,245.316,153,255,0,0.878,1.138952164,,
0.059,232.96,49,255,180,1.171,0.853970965,,
0.083,238.086,73,255,180,1.659,0.602772755,,
0.067,233.25,34,255,180,1.317,0.759301443,,
0.059,208.04,17,255,180,1.171,0.853970965,,
0.102,240.14,25,255,180,2.049,0.488042948,,
0.019,172.625,1,255,180,0.341,2.93255132,,
0.136,244.772,60,255,180,2.732,0.366032211,,
0.095,233.525,16,255,180,1.902,0.525762355,,
0.024,171.3,19,255,180,0.439,2.277904328,,
0.033,226.643,110,255,180,0.634,1.577287066,,
0.055,229.348,88,255,180,1.073,0.931966449,,
0.057,247.833,172,255,180,1.122,0.891265597,,
0.214,246.667,28,255,180,4.341,0.230361668,,
0.093,252.59,211,255,180,1.854,0.539374326,,
0.162,251.103,104,255,180,3.268,0.305997552,,
0.1,249.286,158,255,180,2,0.5,,
0.064,243.407,65,255,180,1.268,0.788643533,,
0.062,239.346,151,255,180,1.22,0.819672131,,
0.031,244.308,193,255,180,0.585,1.709401709,,
0.021,221.778,110,255,0,0.39,2.564102564,,
0.1,243.214,112,255,180,2,0.5,,
0.045,173.053,10,254,180,0.878,1.138952164,,
0.033,199.429,55,255,180,0.634,1.577287066,,
0.247,248.144,27,255,180,5.024,0.199044586,,
0.121,252.667,164,255,180,2.439,0.4100041,,
0.271,252.956,169,255,0,5.512,0.181422351,,
0.1,245.881,99,255,180,2,0.5,,
0.05,234.762,87,255,180,0.976,1.024590164,,
0.033,187.214,32,255,180,0.634,1.577287066,,
0.045,201.526,15,255,180,0.878,1.138952164,,
0.033,236.071,92,255,180,0.634,1.577287066,,
0.088,238.811,36,255,180,1.756,0.569476082,,
0.09,248.658,104,255,180,1.805,0.55401662,,
0.093,229.923,2,255,180,1.854,0.539374326,,
0.045,219.211,64,255,180,0.878,1.138952164,,
0.059,231.68,118,255,180,1.171,0.853970965,,
0.069,225.655,6,255,180,1.366,0.732064422,,
0.043,218.056,23,255,180,0.829,1.206272618,,
0.062,222.692,28,255,180,1.22,0.819672131,,
0.214,248.211,51,255,180,4.341,0.230361668,,
0.109,249.543,93,255,180,2.195,0.455580866,,
0.247,250.577,48,255,180,5.024,0.199044586,,
0.045,239.579,121,255,180,0.878,1.138952164,,
0.045,205.316,16,255,180,0.878,1.138952164,,
0.214,246.7,38,255,180,4.341,0.230361668,,
0.133,235.304,39,255,180,2.683,0.372717108,,
0.052,252.636,209,255,0,1.024,0.9765625,,
0.074,243.968,73,255,180,1.463,0.683526999,,
0.293,250.488,57,255,180,5.951,0.168038985,,
0.071,224.3,4,255,180,1.415,0.706713781,,
0.124,249.654,111,255,180,2.488,0.40192926,,
0.021,125.111,6,241,180,0.39,2.564102564,,
